"Name","Tmin","Tmax"
"Temp6","2022-12-01",-1.6
"Temp6","2022-12-02",-2.6
"Temp6","2022-12-03",-3.4
"Temp6","2022-12-04",-1.7
"Temp6","2022-12-05",4.2
"Temp6","2022-12-06",2.4
"Temp6","2022-12-07",-0.1
"Temp6","2022-12-08",-0.6
"Temp6","2022-12-09",0.2
"Temp6","2022-12-10",0.2
"Temp6","2022-12-11",2.9
"Temp6","2022-12-12",-0.4
"Temp6","2022-12-13",-1.9
"Temp6","2022-12-14",-1.9
"Temp6","2022-12-15",-1.8
"Temp6","2022-12-16",-2
"Temp6","2022-12-17",-2.2
"Temp6","2022-12-18",-2.8
"Temp6","2022-12-19",-3
"Temp6","2022-12-20",-1.5
"Temp6","2022-12-21",3.2
"Temp6","2022-12-22",5.8
"Temp6","2022-12-23",7.4
"Temp6","2022-12-24",7
"Temp6","2022-12-25",6.8
"Temp6","2022-12-26",7
"Temp6","2022-12-27",8.3
"Temp6","2022-12-28",3.1
"Temp6","2022-12-29",1.6
"Temp6","2022-12-30",3.8
"Temp6","2022-12-31",8.4
"Temp6","2023-01-01",3.1
"Temp6","2023-01-02",0.9
"Temp6","2023-01-03",0.3
