"Date","Precipitation"
2022-12-01,-999
2022-12-02,-999
2022-12-03,-999
2022-12-04,-999
2022-12-05,-999
2022-12-06,-999
2022-12-07,-999
2022-12-08,-999
2022-12-09,-999
2022-12-10,-999
2022-12-11,-999
2022-12-12,-999
2022-12-13,-999
2022-12-14,-999
2022-12-15,-999
2022-12-16,-999
2022-12-17,-999
2022-12-18,-999
2022-12-19,-999
2022-12-20,-999
2022-12-21,-999
2022-12-22,-999
2022-12-23,-999
2022-12-24,-999
2022-12-25,-999
2022-12-26,-999
2022-12-27,-999
2022-12-28,-999
2022-12-29,-999
2022-12-30,-999
2022-12-31,-999
2023-01-01,-999
2023-01-02,-999
2023-01-03,-999
