"Date","PP_PRECIP1","PP_PRECIP2","PP_PRECIP3","PP_PRECIP4","PP_PRECIP5","PP_PRECIP6","PP_PRECIP7","PP_PRECIP8","PP_PRECIP9","PP_PRECIP10","PP_PRECIP11","PP_PRECIP12","PP_PRECIP13","PP_PRECIP14","PP_PRECIP15"
"2023-01-11",33.48,27.4,23.87,32.71,30.97,32.33,28.11,31.91,33.24,32.08,28.7,18.06,47.04,19.04,17.71
"2023-01-12",31.29,26.92,36.24,38.01,37.19,33.68,28.93,38.93,34.13,42.2,32.35,33.52,23.5,34.73,44.15
"2023-01-13",15.21,10.84,12.91,15.87,14.66,13.58,20.93,18.44,16.94,14.15,3.35,8.02,47.8,15.14,22.7
"2023-01-14",44.25,42.81,41.42,49.96,49.09,42.91,40.71,47.36,50.99,52.97,45.32,48.09,26.72,38.69,44.77
"2023-01-15",34.5,26.59,21.08,30.57,30.55,27.04,23.07,38.17,30.77,24.1,35.6,23.03,10.34,17.38,21.38
"2023-01-16",3.65,3.21,3.86,6.26,4.82,6.48,5.61,10.33,10.03,11.6,12.17,12.39,5.87,13.27,15.81
"2023-01-17",0,0,0,0.02,0,0.71,1.3,0.8,0,0,0,0.05,16.07,0,0.13
"2023-01-18",0,0,0,0.26,0,0,0,0,0,0,0,0,0,1.29,0.01
"2023-01-19",17.44,15.97,12.38,17.02,15.53,12.32,13.43,11.57,10.49,10.36,8.3,8.18,8.85,8,10.66
"2023-01-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-01-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-01-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-01-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-01-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-01-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-01-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-01-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-01-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-01-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-01-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.26
"2023-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-03",10.61,12.25,12.36,13.31,13.84,12.25,14.13,14.88,14.76,16.93,11.51,17.74,17.63,21.16,22.13
"2023-02-04",0.31,0.75,0.54,0.52,0.32,1.01,0.3,0.62,0.86,0.87,3.41,0.99,0.58,0.58,0.74
"2023-02-05",27.89,20.53,16.74,20.62,19.95,19.18,19.41,18.93,17.35,18.18,16.73,14.32,15.47,14.96,16.28
"2023-02-06",13.53,13.29,11.03,10.27,11.22,9.54,9.36,6.13,6.52,5.6,5.15,5.1,5.01,4.72,4.42
"2023-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-11",2.63,1.78,2.01,2.57,2.24,2.4,3.6,3.58,2.27,1.7,0.99,1.51,3.24,2.54,4.74
"2023-02-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-15",1.38,0.47,1.04,0.79,1.04,0.46,1.65,0,0,0.01,0,0,0.56,0,0
"2023-02-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-02-22",4.53,2.74,1.75,2.48,1.6,1.51,2.77,0.45,0.36,0,0,0,0.86,0,0
"2023-02-23",5.43,3.9,3.92,4.2,4.1,3.27,4.27,2.04,1.82,0.98,0.49,0.61,1.31,0.49,0.72
"2023-02-24",17.07,26.04,22.9,26.58,24.47,23.88,22.21,29.81,28.47,30.71,33.38,28.41,25.88,28.8,28.54
"2023-02-25",4.62,6.9,5.45,7.59,5.6,11.59,6.3,10.12,11.3,8.47,8.61,7.28,5.75,6.49,5.82
"2023-02-26",0.55,0.62,0.76,0.95,0.6,1.3,0.81,0.89,1.06,1.24,2.25,1.3,1.19,1.37,1.3
"2023-02-27",11.28,13.79,15.01,14.49,15.75,11.53,15.61,10.45,11.53,10.5,8.74,8.66,13.29,7.91,16.26
"2023-02-28",25.73,25.14,23.38,23.17,23.8,21.44,20.76,20.65,20.37,21.06,23.06,20.71,18.85,20.87,25.85
"2023-03-01",14.34,21.23,12.47,19.49,13.32,12.34,11.1,9.19,9.21,6.35,15.13,9.1,9.28,9.19,9.63
"2023-03-02",0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
"2023-03-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-03-04",0.69,0.2,1.01,0.03,1.68,0,0.61,0.62,0.02,9.34,0,0.04,0,0,0
"2023-03-05",17.91,23.86,27.29,25.56,25.68,24.59,22.47,29.08,27.59,26.52,20.23,21.2,19.18,19.87,18.03
"2023-03-06",8.6,10,11.36,12.77,11.03,11.58,11.27,13.03,11.84,11.96,7.44,7.72,9.43,7.62,6.46
"2023-03-07",9.42,8.81,10.13,7.66,10.76,6.73,7.66,5.93,6.3,3.7,6.1,2.53,3.63,1.67,2.39
"2023-03-08",18.14,17.19,15.64,15.46,17.26,12.25,14.23,18.63,15.08,9.95,12.21,9.72,13.33,12.77,12.01
"2023-03-09",0.87,0.67,0.96,1.13,0.98,1.24,0.86,1.5,1.36,1.83,1.79,1.13,1.13,0.66,0.69
"2023-03-10",57.68,49.24,46.67,57.27,52.5,52.93,62.47,89.82,77.41,91.01,82.4,93.66,107.15,99.75,110.64
"2023-03-11",0.26,0.27,0.66,0.54,0.56,0.54,0.45,0.66,0.74,1.25,0.81,0.74,0.64,0.8,0.75
"2023-03-12",14.52,16.79,13.99,15.99,16.5,12.25,12.38,19.16,17.13,21.99,16.36,20.04,18.68,21.42,27.19
"2023-03-13",27.78,29.11,19.28,26.53,26.34,16.87,16.12,19.65,19.41,19.6,23.41,17.92,16.77,18.67,25.25
"2023-03-14",28.68,23.56,24.72,29.92,30.04,26.24,39.62,38.22,29.85,34.98,19.76,24.46,47.62,30.52,39.81
"2023-03-15",38.08,27.92,23.54,33.17,31.94,26.79,32.47,42.54,38.32,40.93,34.96,32.22,45.54,29.53,38.7
"2023-03-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-03-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-03-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-03-19",16.1,10.98,10.62,14.62,13.48,9.78,10.4,11.69,10.19,14.49,10.74,15.19,13.78,16.94,15.26
