"Date","Year","Day_Of_Year","Day_Of_Run","Tavg","Tmax","Tmin"
"12/01/2022","2022","335","1","4.6","7.2","2.2"
"12/02/2022","2022","336","2","5.0","8.3","1.7"
"12/03/2022","2022","337","3","5.4","6.7","3.3"
"12/04/2022","2022","338","4","6.6","8.9","3.9"
"12/05/2022","2022","339","5","6.9","8.9","5.0"
"12/06/2022","2022","340","6","7.1","10.0","5.0"
"12/07/2022","2022","341","7","7.2","10.0","4.4"
"12/08/2022","2022","342","8","4.8","6.7","3.3"
"12/09/2022","2022","343","9","5.1","7.2","3.3"
"12/10/2022","2022","344","10","6.5","9.4","3.9"
"12/11/2022","2022","345","11","3.2","5.0","2.2"
"12/12/2022","2022","346","12","4.9","8.3","1.7"
"12/13/2022","2022","347","13","6.2","10.0","3.9"
"12/14/2022","2022","348","14","6.6","9.4","5.0"
"12/15/2022","2022","349","15","9.4","13.9","5.0"
"12/16/2022","2022","350","16","9.5","13.3","7.2"
"12/17/2022","2022","351","17","8.8","12.8","6.7"
"12/18/2022","2022","352","18","7.9","10.6","5.6"
"12/19/2022","2022","353","19","5.2","8.3","2.2"
"12/20/2022","2022","354","20","7.5","10.6","3.3"
"12/21/2022","2022","355","21","9.8","12.8","7.2"
"12/22/2022","2022","356","22","8.7","10.6","6.7"
"12/23/2022","2022","357","23","9.6","11.7","7.8"
"12/24/2022","2022","358","24","13.1","17.2","8.9"
"12/25/2022","2022","359","25","14.7","19.4","10.6"
"12/26/2022","2022","360","26","11.3","14.4","8.9"
"12/27/2022","2022","361","27","8.8","11.7","5.6"
